,deviceOs,appSeq,name,crashrate
231,ios,134,테라M(iOS),1.52
232,android,234,테리아사가 글로벌 - android,0.0
233,ios,235,테리아사가 글로벌 - iOS,0.0
234,android,218,테리아사가 품평회,0.0
235,android,44,팬텀게이트 (Android),0.15
236,ios,45,팬텀게이트 (iOS),0.43
237,android,183,페이트/그랜드오더(AOS),1.01
238,ios,184,페이트/그랜드오더(iOS),0.42
239,ios,285,프로젝트 판,0.0
240,android,284,프로젝트 판,0.0
241,android,131,피싱스트라이크(Android),0.58
242,ios,132,피싱스트라이크(iOS),0.33
